"","RouteIdentifier","latitude","longitude"
"276","GISA-5",48.78149,-123.213638
"277","SCPH-2",49.629452,-124.050789
"278","VIVI-57",48.39307,-123.30426
"279","VIPQ-5",49.403301,-124.605843
"280","LMVN-4",49.060062,-123.000893
"281","VIVI-55",48.678505,-123.488991
"282","GIDE-6",49.483959,-124.752899
"283","GIPE-12",48.772644,-123.300591
"284","SCPH-1",49.5658,-124.01123
"285","VICH-1",48.917274,-123.690681
"286","GIQD-2",50.031109,-125.163666
"287","GIPE-2",48.743465,-123.182571
"288","VICX-11",49.687798,-124.977959
"289","VIPR-9",48.966148,-125.586555
"290","VIPQ-9",49.299919,-124.155808
"291","VICH-3",48.887768,-123.655975
"292","SCBI-5",49.382298,-123.336563
"293","VIVI-29",48.456043,-123.265503
"294","SCBI-12",49.384258,-123.329002
"295","SCBI-6",49.41021,-123.375122
"296","VIPR-3",49.146473,-125.882584
"297","LMVN-51",49.326382,-123.170631
"298","LMSQ-4",49.689358,-123.178101
"299","VIPR-13",48.925121,-125.546112
"300","SCSE6",49.465752,-123.803329
"301","QCSK-1",53.271435,-131.825348
"302","LMVN-1",49.084454,-122.872566
"303","CCCI-1",51.654499,-128.125595
"304","GIGB5",49.158836,-123.704597
"305","GIQD-3",49.998009,-125.195702
"306","LMVN-62",49.380089,-123.27002
"307","GIPE-8",48.796986,-123.307281
"308","VICR-3",49.964054,-125.2071
"309","VICX-10",49.668316,-124.928711
"310","GIMA-9",48.819485,-123.22821
"311","LMSQ-5",49.701885,-123.176239
"312","GIHO-24",49.555634,-124.686691
"313","NCPR-2",54.294514,-130.880417
"314","LMSQ-16",49.706333,-123.163712
"315","VIVI-9",48.322938,-123.615896
"316","LMSQ-17",49.686455,-123.152031
"317","VIVI-64",48.591164,-123.481697
"318","GIDE-9",49.525856,-124.741753
"319","VIVI-49",48.487644,-123.55069
"320","VIVI-56",48.700176,-123.461823
"321","GIVA-1",49.087379,-123.646431
"322","VICX-14",49.65802,-124.91629
"323","LMVN-66",49.284744,-122.84256
"324","SCBI-8",49.419682,-123.308762
"325","QCMA-2",54.010597,-132.137385
"326","LMVN-9",49.050289,-123.135132
"327","GILA-1",49.51413,-124.311157
"328","QCTL-2",53.577164,-131.919821
"329","GIDE-7",49.479557,-124.723671
"330","VIPR-8",49.109737,-125.777336
"331","VIPQ-9",NA,NA
"332","LMVN-47",49.30024,-123.004631
"333","LMVN-63",49.411385,-123.24836
"334","LMVN-40",49.29821,-122.87339
"335","VIPR-7",49.007595,-125.686028
"336","LMSQ-21",49.663223,-123.243782
"337","SCSE-5",49.466816,-123.759552
"338","LMSQ22",49.557873,-123.237137
"339","VIVI-47",48.56414,-123.472412
"340","VIVI-63",48.599751,-123.376083
"341","LMVN-44",49.32626,-122.936691
"342","VIVI-42",48.694815,-123.412947
"343","GISA-1",48.811527,-123.194443
"344","VIVI-50",48.59483,-123.508522
"345","GISA-6",48.794319,-123.203621
"346","SCBI-2",49.367317,-123.324532
"347","QCMA-1",54.080894,-131.810257
"348","GISA-4",48.761292,-123.121399
"349","CCCI-2",51.657139,-128.131607
"350","VIVI-59",48.442577,-123.39238
"351","SCBI-7",49.379238,-123.32962
"352","GIDE-2",49.600697,-124.839561
"353","LMVN-70",49.099361,-123.18718
"354","LMVN-46",49.300788,-122.973547
"355","SCBI-14",49.329494,-123.375816
"356","GIHO-11",49.489944,-124.676353
"357","VIBM-1",48.840267,-125.149338
"358","LMVN-15",49.234829,-123.223976
"359","LMVN-38",49.292191,-122.890572
"360","QCQC-1",53.248608,-132.072617
"361","VIVI-11",48.313347,-123.54554
"362","GIDE-8",49.505207,-124.721909
"363","VIVI-21",48.440422,-123.389038
"364","GISA-3",48.775211,-123.091438
"365","VIPA-4",49.234867,-124.816277
"366","GIQD-2",50.026623,-125.151901
"367","VIVI-15",48.357811,-123.527199
"368","SCBI-13",49.392426,-123.354912
"369","LMVN-35",49.294491,-123.003433
"370","GIGA-2",48.861732,-123.339844
"371","VIVI-48",48.567745,-123.500702
"372","VIPM-3",NA,NA
"373","VITH1",50.411144,-125.496826
"374","QCTL-1",53.577343,-131.920425
"375","VIPR-1",49.168812,-125.89666
"376","SCBI-3",49.386902,-123.311981
"377","LMVN-61",49.38266,-123.285797
"378","VIPR-6",49.036446,-125.70179
"379","VIBC-4",NA,NA
"380","VIVI-2",48.358936,-123.778587
"381","VITC-1",50.548801,-126.832123
"382","QCSK6",53.286755,-131.969482
"383","VIAB-1",50.58894,-126.935822
"384","GIDE-4",49.514664,-124.798073
"385","QCMA-3",54.033716,-132.02415
"386","SCBI-10",49.340031,-123.347036
"387","QCSK-5",53.330471,-131.9384
"388","VIVI-62",48.56728,-123.364029
"389","LMSQ-22",49.557873,-123.237137
"390","GIGB-5",49.158836,-123.704597
"391","LM-WV-control-WS01",49.254662,-122.723824
"392","LM-MS-WS01",49.090099,-122.826408
"393","LM-BE-WS01",49.135571,-122.078003
"394","LM-MS-control-WS01",49.073341,-122.834091
"395","LM-WC-WS01",49.129822,-122.505852
"396","LM-BE-control-WS01",49.09156,-122.067017
"397","LM-SA-control-WS01",49.114239,-123.067429
"398","LM-GR-control-WS02",49.2187,-123.185257
"399","LM-SW-WS01",49.139679,-122.351303
"400","LM-WV-WS01",49.34676,-122.647339
"401","LM-BU-WS01",49.13205,-122.987778
"402","LM-MS-WS02",49.083439,-122.8535
"403","LM-WC-control-WS01",49.14703,-122.48468
"404","LM-BU-control-WS01",49.13522,-123.04377
"405","LM-NC-WS01",49.16972,-122.152946
"406","LM-SA-WS01",49.110859,-123.084633
"407","LM-MS-control-WS02",49.070591,-122.799461
"408","LM-BE-WS02",49.144001,-122.08503
"409","LM-NC-WS02",49.166302,-122.165382
"410","LM-GE-WS01",49.163929,-122.412857
"411","LM-SA-WS02",49.097729,-123.087349
"412","LM-GR-control-WS01",49.215981,-123.171768
"413","LM-NC-control-WS01",49.13485,-122.197258
"414","LM-SW-GE-ctrl-WS01",49.127419,-122.303146
"415","LM-GR-ctrl-WS02",49.2187,-123.185257
"416","LM-MS-ctrl-WS02",49.070591,-122.799461
"417","LM-SA-ctrl-WS01",49.114239,-123.067429
"418","LM-MS-ctrl-WS01",49.073341,-122.834091
"419",NA,NA,NA
"420","LM-BU-ctrl-WS01",49.13522,-123.04377
"421","LM-NC-ctrl-WS01",49.13485,-122.197258
"422","LM-WV-ctrl-WS01",49.254662,-122.723824
"423","SCGI-2",49.38432,-123.512713
"424","LM-GR-ctrl-WS01",49.215981,-123.171768
"425","LM-BE-ctrll-WS01",49.09156,-122.067017
"426","LM-WC-ctrl-WS01",49.14703,-122.48468
