OID_,abbrev,name,count_yr,country_code,description,distance,distance_unit,hours
67,BCCR,Campbell River,94,CA,foot,23.000000000000000,Miles,24.000000000000000
68,BCCR,Campbell River,94,CA,car,217.000000000000000,Miles,42.000000000000000
69,BCDB,Deep Bay,94,CA,car,84.000000000000000,Miles,37.000000000000000
70,BCDB,Deep Bay,94,CA,foot,8.000000000000000,Miles,3.000000000000000
71,BCBA,Bamfield,95,CA,foot,10.000000000000000,Miles,10.000000000000000
72,BCBA,Bamfield,95,CA,car,43.000000000000000,Miles,3.000000000000000
73,BCBL,Burns Lake-Francois Lake,95,CA,car,170.000000000000000,Miles,16.000000000000000
74,BCBL,Burns Lake-Francois Lake,95,CA,foot,4.000000000000000,Miles,6.000000000000000
75,BCBR,Broughton Strait,95,CA,car,44.000000000000000,Miles,10.000000000000000
76,BCBR,Broughton Strait,95,CA,foot,7.000000000000000,Miles,16.000000000000000
